Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
AGENT,1, 37 L,Ulwe,675,Under Construction,"5,481 / sq ft"
AGENT,2, 1.1 Cr,Nerul,800,Ready to move,"13,750 / sq ft"
AGENT,2, 32.99 L,Virar,710,Ready to move,"4,647 / sq ft"
AGENT,1, 45 L,kasaradavali thane west,509,Under Construction,"8,840 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,980,Ready to move,"11,224 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,980,Ready to move,"11,224 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,980,Ready to move,"11,224 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.1 Cr,kasaradavali thane west,1021,Ready to move,"10,773 / sq ft"
AGENT,2, 1.09 Cr,kasaradavali thane west,990,Ready to move,"11,111 / sq ft"
AGENT,2, 94 L,kasaradavali thane west,1100,Ready to move,"8,545 / sq ft"
AGENT,2, 87 L,kasaradavali thane west,835,Under Construction,Price
AGENT,2, 85 L,kasaradavali thane west,800,Under Construction,Price
AGENT,1, 55 L,kasaradavali thane west,593,Under Construction,Price
AGENT,1, 54.75 L,kasaradavali thane west,635,Under Construction,"8,622 / sq ft"
AGENT,2, 1.13 Cr,Panvel,1299,Ready to move,"8,700 / sq ft"
AGENT,2, 1.17 Cr,Panvel,1350,Ready to move,"8,700 / sq ft"
AGENT,2, 94.13 L,Panvel,1082,Ready to move,"8,700 / sq ft"
AGENT,2, 73.98 L,kasaradavali thane west,668,Under Construction,"11,075 / sq ft"
AGENT,4, 2.4 Cr,kasaradavali thane west,3500,Under Construction,"6,857 / sq ft"
AGENT,1, 26.51 L,Thane West,324,Ready to move,"8,182 / sq ft"
AGENT,1, 56 L,kasaradavali thane west,695,Ready to move,"8,057 / sq ft"
AGENT,3, 1.52 Cr,Thane West,1115,Ready to move,"13,688 / sq ft"
AGENT,2, 87.47 L,Thane West,639,Ready to move,"13,689 / sq ft"
AGENT,2, 75.26 L,Thane West,550,Ready to move,"13,684 / sq ft"
AGENT,2, 97.33 L,Thane West,711,Ready to move,"13,689 / sq ft"
AGENT,3, 1.27 Cr,Thane West,934,Ready to move,"13,693 / sq ft"
AGENT,2, 87.43 L,Thane West,639,Ready to move,"13,704 / sq ft"
AGENT,2, 1.02 Cr,Thane West,747,Ready to move,"13,686 / sq ft"
AGENT,2, 86.07 L,Thane West,629,Ready to move,"13,684 / sq ft"
